Noxious_Perennial_Grass_Cover_Pct_Any_Hit,Noxious_Annual_Grass_Cover_Pct_Any_Hit,Grass_Cover_Pct_Any_Hit,Average_Grass_Height_cm,Grass_Cover_PCT_Any_Hit_Minus_Noixious,Z-Score Grass Cover,Z-Score Grass Hgt,,,,,
0,0,84.66666667,40.34482759,84.66666667,3.33,2.39,,,,,
0,0,7.33333333,23.5,7.33333333,-1.19,0.27,,,,,
0,0,58,26,58,1.77,0.58,,,,,
0,0,39.33333333,29.21428571,39.33333333,0.68,0.99,,,,,
0,0,34,21.64285714,34,0.37,0.03,,,,,
0,0,18,20.25,18,-0.56,-0.14,,,,,
0,0,18,13.77272727,18,-0.56,-0.96,,,,,
0,0,21.33333333,9.65217391,21.33333333,-0.37,-1.48,,,,,
0,0,25.33333333,14.54545455,25.33333333,-0.14,-0.86,,,,,
0,0,30,21.20689655,30,0.14,-0.02,,,,,
0,0,12.66666667,13.58823529,12.66666667,-0.88,-0.98,,,,,
0,0,42.66666667,16.78571429,42.66666667,0.87,-0.58,,,,,
0,0,47.33333333,27.19230769,47.33333333,1.15,0.73,,,,,
0,0,10,30.33333333,10,-1.03,1.13,,,,,
0,0,42.66666667,23.37931034,42.66666667,0.87,0.25,,,,,
0,0,40.66666667,19.36666667,40.66666667,0.76,-0.25,,,,,
0,0,17.33333333,15.13043478,17.33333333,-0.60,-0.79,,,,,
0,0,7.33333333,13,7.33333333,-1.19,-1.06,,,,,
0,0,42,36.44,42,0.84,1.90,,,,,
0,0,57.33333333,19.03571429,57.33333333,1.73,-0.30,,,,,
0,0,36.66666667,15.64,36.66666667,0.52,-0.73,,,,,
0,0,54.66666667,17.96666667,54.66666667,1.58,-0.43,,,,,
0,0,10.66666667,20.2,10.66666667,-0.99,-0.15,,,,,
0,0,6.66666667,14.13333333,6.66666667,-1.23,-0.92,,,,,
0,0,34.66666667,20.21428571,34.66666667,0.41,-0.15,,,,,
0,0,34,16.03571429,34,0.37,-0.68,,,,,
0,0,20,19.11764706,20,-0.45,-0.29,,,,,
0,0,24.66666667,18.76190476,24.66666667,-0.18,-0.33,,,,,
0,0,12.66666667,17.15,12.66666667,-0.88,-0.53,,,,,
0,0,56,26.9,56,1.65,0.70,,,,,
0,0,53.33333333,27.7,53.33333333,1.50,0.80,,,,,
0,0,50.66666667,19.65517241,50.66666667,1.34,-0.22,,,,,
0,0,34,11.40740741,34,0.37,-1.26,,,,,
0,0,30,17.85714286,30,0.14,-0.45,,,,,
0,0,30.66666667,15.96551724,30.66666667,0.17,-0.68,,,,,
0,0,43.33333333,20.89655172,43.33333333,0.91,-0.06,,,,,
0,0,26,20.52631579,26,-0.10,-0.11,,,,,
0,0,40.66666667,17.5862069,40.66666667,0.76,-0.48,,,,,
0,0,8,12.75,8,-1.15,-1.09,,,,,
0,0,32.66666667,18.72,32.66666667,0.29,-0.34,,,,,
0,0,34.66666667,14.66666667,34.66666667,0.41,-0.85,,,,,
0,0,32,20.79310345,32,0.25,-0.07,,,,,
0,0,36.66666667,20.85714286,36.66666667,0.52,-0.07,,,,,
0,0,21.33333333,15.78947368,21.33333333,-0.37,-0.71,,,,,
0,0,28.66666667,22.28,28.66666667,0.06,0.11,,,,,
0,0,42,14.46428571,42,0.84,-0.87,,,,,
0,0,27.33333333,29.92857143,27.33333333,-0.02,1.08,,,,,
0,0,8,21.18181818,8,-1.15,-0.03,,,,,
0,0,40,16.51851852,40,0.72,-0.61,,,,,
0,0,3.33333333,8.1,3.33333333,-1.42,-1.68,,,,,
0,0,27.33333333,17.27586207,27.33333333,-0.02,-0.52,,,,,
0,0,12.66666667,18.33333333,12.66666667,-0.88,-0.39,,,,,
0,0,47.33333333,24.375,47.33333333,1.15,0.38,,,,,
0,0,30.66666667,20.15384615,30.66666667,0.17,-0.16,,,,,
0,0,33.33333333,27.60869565,33.33333333,0.33,0.79,,,,,
0,0,7.38255034,12.54545455,7.38255034,-1.18,-1.12,,,,,
0,0,15.33333333,22.58823529,15.33333333,-0.72,0.15,,,,,
0,0,0,15,0,-1.62,-0.81,,,,,
0,0,21.33333333,15.73684211,21.33333333,-0.37,-0.71,,,,,
0,0,14.66666667,18,14.66666667,-0.76,-0.43,,,,,
0,4.66666667,47.33333333,45.3,42.6666666,1.15,3.02,,,,,
0,0,11.33333333,13.17647059,11.33333333,-0.95,-1.04,,,,,
0,0,29.33333333,11.55555556,29.33333333,0.10,-1.24,,,,,
0,0,9.33333333,14.14285714,9.33333333,-1.07,-0.91,,,,,
0,0,30,20.53846154,30,0.14,-0.11,,,,,
0,26.66666667,52.66666667,44.26666667,26,1.46,2.89,,,,,
0,0.66666667,49.33333333,44.64,48.66666666,1.26,2.94,,,,,
0,0,12.66666667,19.07692308,12.66666667,-0.88,-0.29,,,,,
0,0,37.33333333,23.95238095,37.33333333,0.56,0.32,,,,,
0,0,10.66666667,25.4,10.66666667,-0.99,0.51,,,,,
0,0,14.66666667,29.66666667,14.66666667,-0.76,1.05,,,,,
0,0,18,18.59090909,18,-0.56,-0.35,,,,,
0,0,20,25.92592593,20,-0.45,0.57,,,,,
0,0,30.66666667,26.59259259,30.66666667,0.17,0.66,,,,,
0,0,24.66666667,18.52631579,24.66666667,-0.18,-0.36,,,,,
0,0,14,13.83333333,14,-0.80,-0.95,,,,,
0,0,26.66666667,27.96428571,26.66666667,-0.06,0.83,,,,,
0,0,32,22.6,32,0.25,0.15,,,,,
0,0,5.33333333,11.77777778,5.33333333,-1.30,-1.21,,,,,
0,0,27.33333333,19.73913043,27.33333333,-0.02,-0.21,,,,,
0,0,47.33333333,33.16666667,47.33333333,1.15,1.49,,,,,
0,0,6.66666667,8,6.66666667,-1.23,-1.69,,,,,
0,0,4.66666667,5.9,4.66666667,-1.34,-1.96,,,,,
0,0,5.33333333,26.15384615,5.33333333,-1.30,0.60,,,,,
0,0,18.66666667,14.36842105,18.66666667,-0.53,-0.89,,,,,
0,0,46.66666667,23.2,46.66666667,1.11,0.23,,,,,
0,0,37.33333333,18.48275862,37.33333333,0.56,-0.37,,,,,
0,0,18.66666667,18.95454545,18.66666667,-0.53,-0.31,,,,,
0,0.66666667,40,38.42307692,39.33333333,0.72,2.15,,,,,
0,0,11.33333333,23.16666667,11.33333333,-0.95,0.23,,,,,
0,0,8.66666667,8.46153846,8.66666667,-1.11,-1.63,,,,,
0,0,2,7.9,2,-1.50,-1.70,,,,,
